location,temperature,charging_sessions_last_30d,firmware_version,cable_wear_indicator,voltage_instability_index,maintenance_type,next_maintenance_days
Location D,21.3,49,v2.0,0.39,1.19,No Maintenance Needed,254.06
Location B,32.42,59,v1.1,0.33,0.59,Software Update/Reset,43.76
Location D,25.25,53,v2.0,0.13,1.48,No Maintenance Needed,203.53
Location B,27.08,64,v2.0,0.23,0.54,No Maintenance Needed,185.32
Location A,29.18,52,v2.0,0.23,1.15,No Maintenance Needed,222.04
Location C,21.91,63,v1.1,0.99,0.91,Cable Inspection/Replacement,11.0
Location B,29.68,49,v1.1,0.84,1.05,Software Update/Reset,27.83
Location A,40.24,65,v2.0,0.02,0.82,No Maintenance Needed,268.38
Location D,21.78,59,v2.1,0.62,0.81,No Maintenance Needed,257.76
Location B,37.37,61,v1.1,0.26,1.08,Software Update/Reset,40.14
Location C,39.98,64,v2.1,0.1,0.61,No Maintenance Needed,214.87
Location D,21.47,59,v2.0,0.71,0.6,No Maintenance Needed,316.66
Location D,16.36,70,v2.0,0.13,0.84,Connector Cleaning/Repair,51.47
Location A,30.42,54,v1.0,0.44,0.82,Software Update/Reset,27.0
Location B,23.62,57,v1.2,0.63,0.6,No Maintenance Needed,220.74
Location D,42.95,56,v1.0,0.55,1.59,Software Update/Reset,44.41
Location C,28.28,42,v1.2,0.98,0.85,Cable Inspection/Replacement,13.74
Location B,21.58,56,v2.1,0.79,0.89,No Maintenance Needed,247.75
Location C,18.82,68,v1.1,0.77,0.51,Software Update/Reset,16.51
Location D,36.72,46,v2.0,0.36,2.82,Power Supply Unit Fault,2.42
Location C,23.43,61,v1.0,0.01,3.37,Power Supply Unit Fault,4.83
Location A,28.35,54,v2.0,0.73,0.68,No Maintenance Needed,203.06
Location C,35.65,74,v1.1,1.0,1.85,Cable Inspection/Replacement,17.15
Location B,24.13,36,v1.1,0.41,0.96,Software Update/Reset,23.17
Location C,27.63,53,v1.2,0.99,2.23,Cable Inspection/Replacement,13.55
Location C,27.87,60,v2.0,0.14,1.18,No Maintenance Needed,317.42
Location A,33.47,59,v1.1,0.3,1.05,Software Update/Reset,40.14
Location C,32.73,73,v1.1,0.17,0.29,Software Update/Reset,12.44
Location C,26.24,60,v1.0,0.48,0.64,Software Update/Reset,43.24
Location D,28.51,51,v2.1,0.8,1.01,No Maintenance Needed,315.9
Location D,25.03,43,v2.0,0.34,1.1,No Maintenance Needed,325.97
Location B,16.18,55,v2.0,0.91,0.54,Cable Inspection/Replacement,16.94
Location D,30.06,67,v2.0,0.54,0.69,No Maintenance Needed,332.59
Location D,43.14,53,v1.1,0.47,1.32,Software Update/Reset,28.37
Location D,20.93,62,v2.0,0.79,0.5,No Maintenance Needed,213.5
Location D,21.82,58,v1.1,0.1,1.07,Software Update/Reset,33.24
Location A,21.03,71,v1.2,0.77,1.86,Connector Cleaning/Repair,43.42
Location D,33.8,63,v2.0,0.24,1.21,No Maintenance Needed,269.58
Location A,31.59,65,v2.0,0.28,1.18,No Maintenance Needed,362.33
Location A,26.73,62,v1.1,0.6,0.36,Software Update/Reset,34.94
Location D,20.66,66,v1.0,0.9,0.66,Cable Inspection/Replacement,5.8
Location C,28.74,56,v2.0,0.58,2.79,Power Supply Unit Fault,4.04
Location A,15.48,53,v2.0,0.65,0.74,No Maintenance Needed,207.07
Location C,29.15,59,v1.0,0.78,1.88,Software Update/Reset,41.13
Location C,34.97,48,v1.1,0.26,0.74,Software Update/Reset,36.75
Location D,17.99,71,v2.0,0.83,0.87,Connector Cleaning/Repair,56.92
Location B,15.74,62,v2.0,0.42,1.29,No Maintenance Needed,275.55
Location D,40.64,49,v2.1,0.18,1.05,No Maintenance Needed,259.82
Location B,23.11,64,v1.1,0.35,1.21,Software Update/Reset,24.47
Location B,37.09,60,v1.2,0.25,0.66,No Maintenance Needed,180.68
Location D,26.77,58,v1.1,0.23,0.57,Software Update/Reset,41.26
Location D,26.7,54,v2.0,0.28,0.64,No Maintenance Needed,364.71
Location B,31.51,54,v1.1,0.18,0.77,Software Update/Reset,31.83
Location D,20.93,60,v1.1,0.67,0.89,Software Update/Reset,19.0
Location B,29.06,54,v1.0,0.58,1.68,Software Update/Reset,12.74
Location C,24.95,53,v2.0,0.65,1.04,No Maintenance Needed,326.15
Location D,17.44,78,v1.2,0.34,1.27,Connector Cleaning/Repair,31.14
Location C,30.7,59,v2.0,0.77,1.07,No Maintenance Needed,224.83
Location A,25.89,64,v2.0,0.13,0.57,No Maintenance Needed,360.25
Location C,26.74,65,v2.0,0.57,1.01,No Maintenance Needed,215.77
Location C,18.32,70,v1.2,0.28,1.07,Connector Cleaning/Repair,31.32
Location B,40.73,71,v2.1,0.53,1.46,Connector Cleaning/Repair,35.85
Location C,35.01,55,v1.2,0.32,0.59,No Maintenance Needed,233.36
Location D,35.71,61,v1.1,0.79,0.36,Software Update/Reset,32.63
Location B,25.56,77,v2.1,0.89,1.09,Cable Inspection/Replacement,9.39
Location A,14.17,71,v1.0,0.74,1.19,Software Update/Reset,33.3
Location D,43.62,63,v2.0,0.18,0.91,No Maintenance Needed,228.75
Location A,27.51,67,v1.2,0.27,1.01,No Maintenance Needed,241.88
Location C,22.01,87,v2.0,0.92,1.55,Cable Inspection/Replacement,13.58
Location D,31.33,50,v2.0,0.44,0.8,No Maintenance Needed,312.85
Location D,37.34,57,v1.1,0.94,0.87,Cable Inspection/Replacement,15.77
Location A,27.82,56,v2.0,0.39,1.04,No Maintenance Needed,259.6
Location D,38.23,55,v2.0,0.95,0.54,Cable Inspection/Replacement,7.41
Location D,36.66,44,v1.1,0.93,0.93,Cable Inspection/Replacement,19.14
Location D,19.39,66,v1.2,0.66,0.97,No Maintenance Needed,360.83
Location C,22.61,53,v1.1,0.01,2.27,Software Update/Reset,29.63
Location A,35.66,48,v2.0,0.4,0.86,No Maintenance Needed,341.55
Location D,6.3,65,v2.0,0.91,1.11,Cable Inspection/Replacement,17.31
Location B,26.8,55,v2.0,0.89,1.58,No Maintenance Needed,273.64
Location B,16.55,63,v1.1,0.19,0.66,Software Update/Reset,24.56
Location B,24.19,69,v1.0,0.4,1.99,Software Update/Reset,25.02
Location B,25.61,56,v1.1,0.84,2.42,Power Supply Unit Fault,3.29
Location C,25.13,76,v1.1,0.58,0.99,Software Update/Reset,40.53
Location D,23.58,55,v2.0,0.85,0.76,No Maintenance Needed,191.33
Location A,19.22,60,v2.1,0.83,2.26,No Maintenance Needed,213.05
Location D,46.34,55,v1.2,0.91,1.49,Cable Inspection/Replacement,19.27
Location C,42.94,63,v2.1,0.12,1.04,No Maintenance Needed,201.26
Location B,18.7,49,v1.0,0.15,2.04,Software Update/Reset,29.12
Location C,40.66,57,v2.1,0.08,1.94,No Maintenance Needed,233.82
Location D,24.8,73,v1.1,0.94,0.85,Cable Inspection/Replacement,18.36
Location A,29.03,68,v2.1,0.48,1.13,No Maintenance Needed,345.95
Location C,27.49,60,v1.0,0.06,1.33,Software Update/Reset,13.41
Location A,22.72,59,v2.1,0.32,1.01,No Maintenance Needed,339.25
Location C,35.87,64,v1.1,0.35,0.5,Software Update/Reset,16.12
Location A,29.01,57,v1.2,0.81,0.63,No Maintenance Needed,309.02
Location A,24.19,59,v1.2,0.74,0.51,No Maintenance Needed,198.05
Location B,17.56,64,v1.2,0.69,1.28,No Maintenance Needed,295.96
Location A,20.85,54,v2.0,0.02,0.55,No Maintenance Needed,296.61
Location B,14.87,66,v2.1,0.91,1.1,Cable Inspection/Replacement,9.08
Location D,28.1,58,v2.0,0.22,2.5,Power Supply Unit Fault,5.94
Location D,18.43,60,v2.0,0.63,2.04,No Maintenance Needed,264.63
Location B,25.88,53,v1.0,0.06,0.4,Software Update/Reset,44.17
Location B,38.96,64,v2.0,0.08,0.53,No Maintenance Needed,267.09
Location C,37.59,58,v1.2,0.01,0.68,No Maintenance Needed,244.93
Location C,27.74,44,v2.0,0.57,0.56,No Maintenance Needed,203.29
Location C,27.3,62,v1.2,0.63,0.44,No Maintenance Needed,251.53
Location D,43.04,84,v2.0,0.05,0.99,Connector Cleaning/Repair,38.77
Location C,32.17,71,v1.1,0.29,1.42,Software Update/Reset,35.07
Location A,25.38,54,v1.1,0.85,1.61,Software Update/Reset,26.28
Location A,16.59,58,v1.2,0.1,0.79,No Maintenance Needed,189.49
Location C,31.15,57,v1.2,0.22,0.87,No Maintenance Needed,309.15
Location A,34.63,63,v1.1,0.42,1.19,Software Update/Reset,41.41
Location D,22.95,63,v1.0,0.84,0.95,Software Update/Reset,41.61
Location A,30.33,58,v2.0,0.25,1.5,No Maintenance Needed,286.65
Location D,25.09,61,v1.0,1.0,1.24,Cable Inspection/Replacement,8.45
Location B,26.53,60,v2.0,0.36,0.83,No Maintenance Needed,359.46
Location B,8.1,64,v1.1,0.39,0.4,Software Update/Reset,25.2
Location B,26.23,57,v1.0,0.12,2.12,Software Update/Reset,42.34
Location B,35.75,63,v2.0,0.68,0.71,No Maintenance Needed,213.05
Location A,22.95,55,v2.0,0.24,1.2,No Maintenance Needed,228.96
Location C,28.42,70,v1.2,0.63,0.38,Connector Cleaning/Repair,29.25
Location A,21.95,49,v2.0,0.22,0.99,No Maintenance Needed,284.58
Location D,30.88,64,v1.1,0.39,1.05,Software Update/Reset,10.56
Location A,26.27,70,v2.0,0.86,1.08,Connector Cleaning/Repair,51.84
Location A,20.49,58,v2.0,0.74,4.51,Power Supply Unit Fault,6.57
Location D,38.66,57,v1.2,0.15,0.73,No Maintenance Needed,286.34
Location B,35.43,72,v2.0,0.61,1.51,Connector Cleaning/Repair,37.05
Location B,23.16,69,v2.0,0.63,1.3,Connector Cleaning/Repair,29.26
Location B,31.98,53,v1.2,0.09,0.71,No Maintenance Needed,198.55
Location C,32.3,57,v2.0,0.47,1.5,No Maintenance Needed,186.55
Location D,33.14,57,v2.1,0.26,0.92,No Maintenance Needed,232.83
Location D,14.45,45,v2.0,0.47,1.55,No Maintenance Needed,330.91
Location A,36.05,66,v1.1,0.78,2.67,Power Supply Unit Fault,6.44
Location C,23.44,65,v2.1,0.16,1.08,No Maintenance Needed,282.66
Location B,25.14,50,v1.1,0.12,0.87,Software Update/Reset,17.17
Location C,49.1,66,v1.0,0.27,1.69,Software Update/Reset,41.02
Location D,30.41,57,v1.2,0.95,2.01,Cable Inspection/Replacement,5.82
Location D,24.91,58,v2.0,0.75,0.64,No Maintenance Needed,256.21
Location A,10.36,62,v2.1,0.02,0.8,No Maintenance Needed,324.3
Location A,39.12,56,v2.0,0.4,1.4,No Maintenance Needed,241.46
Location D,17.24,53,v2.1,0.26,0.94,No Maintenance Needed,301.81
Location B,19.97,50,v1.0,0.64,0.62,Software Update/Reset,11.5
Location B,25.35,74,v1.0,0.46,1.31,Software Update/Reset,32.87
Location C,39.33,74,v2.0,0.96,1.4,Cable Inspection/Replacement,6.08
Location D,34.19,56,v2.1,0.22,0.85,No Maintenance Needed,314.29
Location D,26.74,65,v2.0,0.59,1.03,No Maintenance Needed,349.94
Location B,30.47,74,v1.0,0.7,0.75,Software Update/Reset,24.35
Location B,23.2,65,v1.1,0.83,0.58,Software Update/Reset,31.58
Location D,29.12,52,v1.1,0.41,0.78,Software Update/Reset,37.19
Location A,28.59,60,v1.2,0.69,1.04,No Maintenance Needed,253.8
Location D,35.75,52,v1.0,0.3,0.48,Software Update/Reset,31.24
Location D,35.74,58,v2.1,0.44,0.81,No Maintenance Needed,252.99
Location B,31.95,51,v2.0,0.9,1.04,Cable Inspection/Replacement,11.73
Location B,25.1,64,v2.0,0.95,1.82,Cable Inspection/Replacement,16.12
Location A,33.93,63,v1.0,0.72,0.86,Software Update/Reset,21.36
Location A,27.26,72,v1.0,0.37,0.54,Software Update/Reset,22.71
Location C,19.34,42,v2.0,0.82,0.9,No Maintenance Needed,181.62
Location D,24.77,45,v2.0,0.03,0.75,No Maintenance Needed,358.17
Location B,28.68,58,v2.0,0.1,1.32,No Maintenance Needed,283.32
Location A,35.28,51,v2.0,0.66,0.84,No Maintenance Needed,239.87
Location C,26.53,56,v2.0,0.29,0.26,No Maintenance Needed,206.89
Location C,18.33,58,v1.0,0.95,6.33,Power Supply Unit Fault,3.55
Location B,28.45,75,v1.1,0.44,1.07,Software Update/Reset,32.73
Location B,28.91,48,v2.0,0.43,1.05,No Maintenance Needed,276.74
Location C,29.49,60,v1.2,0.68,0.46,No Maintenance Needed,245.21
Location A,35.36,53,v1.1,0.77,0.48,Software Update/Reset,18.65
Location C,36.15,74,v1.2,0.48,0.96,Connector Cleaning/Repair,50.93
Location D,23.25,67,v1.2,0.21,1.18,No Maintenance Needed,270.74
Location D,23.07,50,v2.1,0.77,1.42,No Maintenance Needed,313.15
Location B,19.68,62,v1.1,0.32,1.13,Software Update/Reset,13.81
Location A,33.59,64,v1.1,0.18,0.55,Software Update/Reset,36.28
Location A,39.59,49,v2.0,0.63,0.29,No Maintenance Needed,262.08
Location D,25.48,74,v2.0,0.09,0.95,Connector Cleaning/Repair,27.33
Location C,26.07,62,v2.0,0.97,0.77,Cable Inspection/Replacement,9.52
Location B,39.73,59,v2.1,0.63,0.53,No Maintenance Needed,328.68
Location C,32.04,57,v2.0,0.99,1.51,Cable Inspection/Replacement,17.14
Location C,31.49,60,v2.0,0.34,0.45,No Maintenance Needed,304.76
Location C,18.47,61,v1.1,0.97,1.36,Cable Inspection/Replacement,18.48
Location A,33.43,57,v1.2,0.15,0.49,No Maintenance Needed,182.35
Location D,20.57,55,v2.0,0.04,1.07,No Maintenance Needed,268.41
Location A,18.93,61,v2.0,0.03,1.6,No Maintenance Needed,312.84
Location D,25.23,51,v2.1,0.46,0.84,No Maintenance Needed,258.88
Location B,23.31,68,v2.0,0.08,2.33,Power Supply Unit Fault,4.66
Location B,26.23,74,v2.0,0.51,2.61,Power Supply Unit Fault,2.72
Location C,16.47,54,v1.0,0.33,1.13,Software Update/Reset,38.77
Location D,35.67,57,v1.0,0.34,1.31,Software Update/Reset,30.88
Location D,37.02,55,v1.1,0.64,1.7,Software Update/Reset,36.5
Location D,12.42,55,v1.0,0.16,1.31,Software Update/Reset,35.53
Location C,35.83,64,v1.2,0.77,1.24,No Maintenance Needed,346.8
Location C,21.52,50,v1.2,0.58,0.77,No Maintenance Needed,239.37
Location B,34.86,55,v2.0,0.91,0.43,Cable Inspection/Replacement,14.47
Location A,27.45,52,v2.0,0.36,0.5,No Maintenance Needed,314.87
Location D,28.23,60,v2.0,0.98,3.29,Power Supply Unit Fault,2.14
Location D,26.52,49,v1.2,0.58,1.17,No Maintenance Needed,313.08
Location A,37.7,79,v1.1,0.97,0.88,Cable Inspection/Replacement,12.85
Location D,18.08,55,v2.1,0.03,1.88,No Maintenance Needed,349.69
Location C,32.86,50,v1.0,0.73,0.69,Software Update/Reset,26.87
Location C,36.81,63,v2.1,0.82,1.34,No Maintenance Needed,209.29
Location D,33.73,61,v1.2,0.05,1.04,No Maintenance Needed,285.38
Location C,46.6,54,v2.0,0.58,1.26,No Maintenance Needed,283.06
Location C,23.77,52,v1.1,0.8,0.85,Software Update/Reset,27.17
Location D,35.66,60,v1.0,0.56,0.62,Software Update/Reset,34.54
Location B,27.15,65,v1.2,0.06,0.66,No Maintenance Needed,301.59
Location A,37.87,68,v2.0,0.69,0.68,No Maintenance Needed,189.68
Location C,27.94,73,v1.1,0.06,1.0,Software Update/Reset,41.08
Location B,24.9,68,v2.0,0.82,0.46,No Maintenance Needed,306.94
Location C,38.45,52,v1.1,0.04,0.54,Software Update/Reset,38.82
Location C,24.07,61,v1.2,0.14,1.07,No Maintenance Needed,259.4
Location A,16.7,52,v2.1,0.28,0.94,No Maintenance Needed,263.65
Location C,23.87,61,v2.0,0.63,1.1,No Maintenance Needed,355.19
Location A,32.95,70,v2.0,0.98,0.98,Cable Inspection/Replacement,6.67
Location A,39.14,58,v1.1,0.12,3.52,Power Supply Unit Fault,1.23
Location A,28.89,58,v1.1,0.14,1.07,Software Update/Reset,24.51
Location B,38.55,63,v2.1,0.37,0.83,No Maintenance Needed,198.68
Location D,17.13,60,v1.1,0.84,1.05,Software Update/Reset,26.66
Location B,24.45,70,v2.0,0.47,1.67,Connector Cleaning/Repair,47.83
Location D,25.69,63,v1.2,0.32,0.98,No Maintenance Needed,335.86
Location D,27.08,55,v2.1,0.56,1.41,No Maintenance Needed,246.21
Location A,28.67,60,v1.2,0.26,1.22,No Maintenance Needed,229.46
Location C,33.53,52,v1.2,0.4,0.86,No Maintenance Needed,305.47
Location A,24.44,57,v2.0,0.33,1.06,No Maintenance Needed,335.27
Location C,29.11,56,v2.1,0.8,2.22,No Maintenance Needed,262.29
Location D,27.64,65,v2.1,0.92,1.13,Cable Inspection/Replacement,12.1
Location A,20.59,61,v2.0,0.76,0.61,No Maintenance Needed,361.16
Location C,27.09,64,v2.0,0.44,0.85,No Maintenance Needed,266.71
Location B,26.85,61,v2.0,0.5,0.35,No Maintenance Needed,240.17
Location C,26.68,70,v2.0,0.13,1.07,Connector Cleaning/Repair,31.07
Location A,28.25,78,v2.0,0.75,1.93,Connector Cleaning/Repair,23.61
Location B,28.61,67,v1.2,0.6,0.51,No Maintenance Needed,266.18
Location C,24.54,56,v2.0,0.9,1.08,Cable Inspection/Replacement,16.75
Location C,38.18,51,v2.0,0.2,1.64,No Maintenance Needed,299.55
Location C,18.64,70,v2.0,0.76,1.73,Connector Cleaning/Repair,34.54
Location C,22.23,51,v2.0,0.68,1.9,No Maintenance Needed,364.42
Location C,50.24,52,v1.2,0.27,0.39,No Maintenance Needed,253.7
Location B,19.7,64,v1.1,0.67,1.29,Software Update/Reset,36.3
Location D,17.17,41,v1.2,0.92,0.47,Cable Inspection/Replacement,15.49
Location B,33.88,58,v1.1,0.92,0.61,Cable Inspection/Replacement,10.45
Location B,11.38,73,v1.2,0.72,1.51,Connector Cleaning/Repair,35.64
Location B,26.12,42,v2.1,0.05,1.08,No Maintenance Needed,345.95
Location D,45.17,58,v2.0,0.87,1.44,No Maintenance Needed,360.39
Location A,15.64,62,v2.0,0.66,0.63,No Maintenance Needed,299.37
Location D,12.14,65,v1.1,0.31,2.09,Software Update/Reset,34.2
Location B,16.01,63,v2.1,0.19,1.41,No Maintenance Needed,276.8
Location C,35.19,70,v2.0,0.12,1.56,Connector Cleaning/Repair,46.66
Location C,37.0,78,v1.0,0.05,0.58,Software Update/Reset,22.43
Location B,23.9,60,v2.0,0.75,1.8,No Maintenance Needed,276.45
Location C,33.47,56,v2.1,0.24,0.85,No Maintenance Needed,360.14
Location B,39.12,66,v1.0,0.02,0.74,Software Update/Reset,24.46
Location C,42.3,66,v2.0,0.4,1.37,No Maintenance Needed,209.01
Location D,26.03,56,v2.1,0.48,1.34,No Maintenance Needed,219.16
Location A,9.59,71,v1.0,0.17,0.65,Software Update/Reset,15.67
Location A,21.43,68,v2.0,0.04,2.8,Power Supply Unit Fault,2.66
Location D,24.59,53,v1.2,0.19,2.48,Power Supply Unit Fault,5.9
Location D,25.93,59,v1.2,0.68,1.35,No Maintenance Needed,259.8
Location B,26.5,58,v2.0,0.08,1.24,No Maintenance Needed,228.52
Location B,36.95,46,v1.0,0.56,1.18,Software Update/Reset,42.42
Location B,38.2,62,v2.0,0.15,0.46,No Maintenance Needed,285.95
Location C,26.63,60,v1.0,0.2,1.06,Software Update/Reset,10.61
Location B,36.79,62,v1.2,0.39,1.05,No Maintenance Needed,362.33
Location D,30.86,69,v2.0,0.1,0.75,Connector Cleaning/Repair,40.15
Location A,28.52,67,v1.2,0.17,0.86,No Maintenance Needed,273.6
Location C,35.25,52,v1.2,0.35,0.3,No Maintenance Needed,342.2
Location B,28.58,52,v2.0,0.33,0.58,No Maintenance Needed,237.39
Location C,44.46,36,v2.1,0.75,1.59,No Maintenance Needed,295.84
Location C,16.49,46,v2.0,0.07,2.38,Power Supply Unit Fault,4.15
Location B,23.88,68,v2.0,0.86,0.62,No Maintenance Needed,324.91
Location C,26.99,56,v2.0,0.82,1.1,No Maintenance Needed,299.37
Location A,31.52,65,v2.1,0.77,1.73,No Maintenance Needed,322.52
Location D,38.14,56,v1.2,0.31,0.77,No Maintenance Needed,310.98
Location D,27.8,79,v1.1,0.82,1.4,Software Update/Reset,38.8
Location A,16.62,67,v1.0,0.18,0.98,Software Update/Reset,15.35
Location C,34.74,56,v1.2,0.12,1.81,No Maintenance Needed,347.38
Location B,34.04,65,v2.1,0.04,0.53,No Maintenance Needed,252.46
Location C,12.47,67,v2.0,0.94,0.58,Cable Inspection/Replacement,14.5
Location A,27.97,55,v2.0,0.31,1.15,No Maintenance Needed,300.17
Location C,15.28,62,v1.1,0.92,1.05,Cable Inspection/Replacement,5.33
Location D,22.68,72,v1.1,0.27,0.97,Software Update/Reset,13.99
Location C,20.78,59,v1.2,0.91,1.33,Cable Inspection/Replacement,10.04
Location A,34.47,58,v2.1,0.9,0.63,Cable Inspection/Replacement,17.8
Location D,28.93,71,v1.2,0.92,0.5,Cable Inspection/Replacement,11.38
Location C,17.72,50,v2.0,0.5,0.78,No Maintenance Needed,212.6
Location C,35.04,67,v1.1,0.87,0.82,Software Update/Reset,43.24
Location D,16.53,56,v2.0,0.95,0.87,Cable Inspection/Replacement,8.53
Location B,30.64,65,v2.0,0.32,1.89,No Maintenance Needed,195.3
Location D,21.49,62,v2.0,0.42,1.47,No Maintenance Needed,324.35
Location B,25.07,67,v1.0,0.72,1.31,Software Update/Reset,39.73
Location A,32.03,51,v1.1,0.3,1.12,Software Update/Reset,25.59
Location A,32.17,60,v1.1,0.75,0.8,Software Update/Reset,24.31
Location D,38.7,61,v2.1,0.07,0.65,No Maintenance Needed,202.74
Location D,27.34,60,v1.1,0.52,0.55,Software Update/Reset,35.8
Location A,30.45,61,v1.0,0.12,0.71,Software Update/Reset,43.8
Location B,24.5,55,v2.0,0.29,0.98,No Maintenance Needed,227.36
Location A,29.46,52,v2.0,0.26,0.56,No Maintenance Needed,350.5
Location D,31.52,74,v2.0,0.84,1.09,Connector Cleaning/Repair,56.24
Location A,27.21,70,v2.1,0.19,0.91,Connector Cleaning/Repair,25.16
Location D,13.57,60,v2.0,0.81,0.82,No Maintenance Needed,223.79
Location D,30.65,57,v2.1,0.79,1.79,No Maintenance Needed,187.32
Location A,30.92,75,v2.0,0.5,0.29,Connector Cleaning/Repair,33.02
Location B,22.56,56,v1.1,0.23,0.83,Software Update/Reset,35.26
Location C,17.72,59,v2.1,0.23,0.31,No Maintenance Needed,185.47
Location A,39.81,59,v2.0,0.46,1.13,No Maintenance Needed,296.0
Location C,31.93,60,v1.2,0.01,1.46,No Maintenance Needed,310.84
Location A,26.17,51,v2.0,0.53,0.51,No Maintenance Needed,335.0
Location C,18.9,53,v1.2,0.95,0.54,Cable Inspection/Replacement,18.94
Location B,21.43,74,v1.1,0.15,0.43,Software Update/Reset,25.36
Location B,38.42,52,v2.0,0.57,1.03,No Maintenance Needed,303.04
Location A,29.1,57,v2.0,0.96,0.84,Cable Inspection/Replacement,18.09
Location D,23.6,59,v2.0,0.86,0.87,No Maintenance Needed,226.83
Location C,32.08,61,v1.1,0.85,0.83,Software Update/Reset,10.63
Location D,21.48,46,v2.1,0.82,0.61,No Maintenance Needed,292.42
Location D,40.01,54,v1.0,0.31,1.76,Software Update/Reset,19.08
Location D,38.82,56,v1.2,0.89,1.15,No Maintenance Needed,257.1
Location B,24.27,65,v1.1,0.94,0.55,Cable Inspection/Replacement,13.21
Location A,22.97,69,v1.0,0.5,0.7,Software Update/Reset,39.47
Location A,7.05,71,v1.2,0.35,0.65,Connector Cleaning/Repair,28.76
Location B,16.15,58,v2.0,0.41,2.02,No Maintenance Needed,248.68
Location B,17.28,50,v2.0,0.33,1.43,No Maintenance Needed,356.24
Location A,29.08,56,v2.1,0.21,0.94,No Maintenance Needed,310.69
Location D,25.39,51,v2.0,0.62,2.35,Power Supply Unit Fault,6.82
Location C,17.24,55,v1.2,0.56,2.07,No Maintenance Needed,200.44
Location C,25.75,56,v2.0,0.46,0.89,No Maintenance Needed,343.04
Location C,32.04,53,v2.0,0.1,0.81,No Maintenance Needed,295.91
Location D,32.22,85,v1.2,0.8,0.83,Connector Cleaning/Repair,54.56
Location A,12.8,60,v2.0,0.17,0.62,No Maintenance Needed,240.39
Location B,26.97,68,v1.2,0.11,2.38,Power Supply Unit Fault,4.49
Location A,16.93,58,v1.2,0.62,0.6,No Maintenance Needed,205.98
Location D,35.21,58,v2.0,0.4,1.54,No Maintenance Needed,296.77
Location B,34.27,51,v2.0,0.06,1.41,No Maintenance Needed,191.77
Location D,20.82,63,v2.0,0.36,0.86,No Maintenance Needed,228.6
Location C,21.87,57,v1.2,0.77,2.47,Power Supply Unit Fault,1.15
Location C,24.31,61,v2.0,0.62,0.46,No Maintenance Needed,301.51
Location D,9.98,64,v2.1,0.36,0.96,No Maintenance Needed,267.06
Location B,30.69,69,v2.1,0.19,0.78,Connector Cleaning/Repair,54.67
Location B,25.82,53,v1.1,0.63,1.62,Software Update/Reset,33.19
Location A,35.76,71,v1.1,0.89,1.19,Software Update/Reset,41.37
Location C,19.21,58,v2.0,0.65,0.42,No Maintenance Needed,202.95
Location A,23.05,66,v1.2,0.81,1.86,No Maintenance Needed,329.96
Location A,15.95,62,v1.0,0.52,1.27,Software Update/Reset,16.72
Location D,19.97,74,v1.2,0.72,0.6,Connector Cleaning/Repair,49.41
Location D,18.54,67,v2.0,0.9,0.84,Cable Inspection/Replacement,5.11
Location A,35.97,56,v2.0,0.77,0.52,No Maintenance Needed,207.68
Location C,22.41,43,v1.2,0.91,0.92,Cable Inspection/Replacement,12.32
Location D,28.99,60,v1.2,0.43,1.08,No Maintenance Needed,305.08
Location A,24.95,55,v2.0,0.9,0.85,Cable Inspection/Replacement,8.32
Location A,17.84,74,v1.1,0.62,0.8,Software Update/Reset,32.36
Location A,26.65,48,v2.0,0.87,0.45,No Maintenance Needed,257.2
Location A,32.79,62,v1.0,0.04,1.18,Software Update/Reset,16.99
Location A,18.34,71,v1.2,0.66,0.38,Connector Cleaning/Repair,26.21
Location A,34.47,62,v1.2,0.85,1.02,No Maintenance Needed,234.75
Location D,21.2,71,v2.0,0.17,0.41,Connector Cleaning/Repair,51.05
Location C,24.14,74,v2.0,0.66,1.03,Connector Cleaning/Repair,51.96
Location A,32.25,64,v1.2,0.82,1.0,No Maintenance Needed,340.89
Location B,22.69,66,v1.0,0.29,1.22,Software Update/Reset,22.0
Location D,28.3,56,v1.1,0.41,1.54,Software Update/Reset,32.46
Location D,25.48,51,v2.0,0.57,1.69,No Maintenance Needed,280.09
Location A,29.03,56,v1.0,0.52,0.45,Software Update/Reset,22.4
Location D,8.95,57,v1.1,0.04,0.97,Software Update/Reset,13.98
Location A,13.36,47,v2.0,0.1,2.73,Power Supply Unit Fault,5.18
Location C,32.93,69,v2.0,0.1,1.06,Connector Cleaning/Repair,45.69
Location C,36.3,67,v1.2,0.26,0.66,No Maintenance Needed,222.51
Location D,20.72,61,v1.2,0.25,0.96,No Maintenance Needed,345.24
Location D,26.05,56,v2.1,0.74,0.83,No Maintenance Needed,256.28
Location B,30.36,65,v2.1,0.57,0.56,No Maintenance Needed,207.52
Location D,33.55,66,v1.2,0.76,1.54,No Maintenance Needed,339.34
Location B,11.78,47,v2.0,0.07,1.34,No Maintenance Needed,237.67
Location C,20.91,62,v2.0,0.49,0.51,No Maintenance Needed,238.98
Location C,25.34,66,v2.1,0.32,0.95,No Maintenance Needed,223.43
Location A,33.63,51,v1.2,0.85,0.75,No Maintenance Needed,257.66
Location C,47.99,56,v2.0,0.71,0.45,No Maintenance Needed,295.6
Location B,26.18,65,v2.0,0.87,0.49,No Maintenance Needed,233.45
Location D,16.74,53,v1.2,0.05,0.53,No Maintenance Needed,282.66
Location A,31.22,61,v2.0,0.72,0.97,No Maintenance Needed,343.13
